beta,alpha,strain
1.8635237439798604,-0.8587405368244287,WT
1.2917412250522537,-2.057639366833923,WT
1.6098417055534395,-0.8583963919744617,WT
2.9481761872031482,2.544562973162347,1A
2.8922229869277336,3.935306262910737,1A
2.7280110117036998,3.768410185828475,1A
1.9405368203736963,-3.4150034411658607,1B
2.1623537508628248,1.6226772195471235,1B
2.1583620096377643,2.8239848589165715,1B
1.3956267484460723,-2.1762013728967973,1C
1.2346809051619663,-3.835240274610089,1C
1.3836765827620878,-5.599542334110505,1C
1.0661072972287229,3.384439359272936,2A
0.9453343503685561,1.2974828375292538,2A
1.228324434274589,-4.102974828386417,2A
2.290984170684165,2.7391603578840384,2B
2.47646249140033,3.023227804546735,2B
2.0203028217503327,2.131280110119465,2B
3.3472814865846106,-3.0137646249227297,2C
3.675017205786977,-3.9556090846632532,2C
3.130695113562803,-4.556607019970829,2C
3.0666896081219273,-0.19081211866212816,2D
3.0947694425372605,-0.7448382656610693,2D
3.256641431525914,-0.11510667584552348,2D
1.3022711631114645,2.3596008258804604,2E
1.2130763936687374,2.2370956641458486,2E
0.9702684101857576,0.7924982794214336,2E
1.6392980041307819,0.1388506538178047,2F
1.6959394356518964,0.02374397797447103,2F
2.207157604957898,1.966620784585727,2F
0.9988988300068798,0.6589814177556227,3A
1.0130075705437311,1.3095320027536,3A
1.0196145905024516,2.3556434962176844,3A
1.0661390227117753,3.3886785960134675,3B
0.8695113558152694,2.839298004133399,3B
1.1136269786650792,3.4076049552702194,3B
0.30839642119601374,2.912766689611882,3C
0.3530626290419475,1.4015829318659832,3C
0.3338609772869159,2.111321403994166,3C
0.9347556779076347,1.1696490020650643,3D
1.1614590502412332,2.5643496214762274,3D
1.100688231245918,1.0256366139023274,3D
1.209222298692817,-0.7064693737132892,3E
1.1752236751552343,1.0770818995184064,3E
1.1249139710945602,-0.47195457674099406,3E
0.24108740641887655,4.755505837584182,3F
0.2297315898124973,3.207501720582931,3F
0.2490020629811062,3.925326948994525,3F
0.6934618031651951,4.1314521679352545,3G
0.8490708878179777,3.8528905712381567,3G
0.839298004129037,4.1388506538265295,3G
1.1529938059191225,1.974019270477004,3H
0.9293874741911743,0.8196834136265857,3H
1.0298004129388123,0.6350653819675459,3H
0.694012388161755,6.551961459062351,3I
0.7106675845985441,6.022367513603598,3I
0.6247075017197594,3.9953544390980693,3I
0.48885065460453947,-0.015313157174987376,4A
0.5141775636603306,0.3281142463853207,4A
0.3564349621458778,-0.6477976600173576,4A
0.9591190640054167,5.5271851342149665,4B
0.9317274604265545,5.356847900904202,4B
0.8015829318646739,3.8339642119814057,4B
0.5538885065372239,-1.9676531314586407,4C
0.5165863730202807,-0.7071576049589872,4C
0.42463867859475346,-1.9322092223050897,4C
0.41369580177573,3.0851686185622182,4D
0.3962147274093909,2.4839986487035475,4D
0.3534755677893673,0.9669649002063995,4D
0.4412938747406945,5.53819683414617,4E
0.3473503103627191,6.913799026831614,4E
0.4066070199574118,5.046111493470629,4E
1.0686854783208655,5.208534067455841,4F
0.839642119751887,4.276668960777965,4F
0.8218169304882555,3.5376806607075304,4F
1.0044046799724804,2.8640743289786013,4G
1.1386785960085613,3.0407777013120914,4G
0.9116311080521128,2.508258774951673,4G
0.311768754299944,2.863386097732902,4H
0.2628355127306701,2.8656228492814275,4H
0.2960770818979829,2.3788713007600633,4H
0.5074328974524699,-0.5731245698589014,4I
0.4809359944930178,0.8148657949066853,4I
0.5218169304876011,-0.21231933930064728,4I
0.5156228492763006,1.3069511355822259,4J
0.5185134205082409,2.2646249139738535,4J
0.5049552649679498,1.0345836200964278,4J
0.6531314524001985,2.5791465827406457,4K
0.8126634549204448,3.671713695807617,4K
0.6864418444590545,1.5199587061263924,4K
0.5379903642530532,5.26514110220938,4L
0.6389538885057506,6.501032346880547,4L
0.7331039229175182,5.408121128708857,4L
0.5805918788703859,1.927047487957976,5A
0.7173434273909871,1.4960426703383156,5A
0.6517549896757717,2.027873365453034,5A
0.27968471904241565,7.780320366147514,5B
0.24052885866634768,6.691075510258492,5B
0.2791762013714254,4.038901601837292,5B
0.24728148703703653,1.2362353683862506,5D
0.2618031658621198,1.452167928424939,5D
0.23702684101691796,0.5292498279411639,5D
0.6020849213294485,8.83981696061725,5E
0.6702262903628707,8.189931350130102,5E
0.48487159928695167,3.9427917620201485,5E
0.35512732277904757,-1.7715072264341227,5F
0.30399174122353334,-1.451307639372172,5F
0.3060564349606337,-1.6243977976657376,5F
0.334755677906326,1.6696490020661554,6A
0.3144528561581743,-0.46163110805549246,6A
0.3353062629028859,1.0901582931867086,6A
0.19449415003265447,4.294907088789018,6B
0.17095664142971245,4.068134893330852,6B
0.18196834136091355,3.4783207157659035,6B
0.2508602890554892,4.469545767385408,6D
0.22677219545598715,4.822264280806686,6D
0.22856159669480725,4.938919476952847,6D
0.2012388162405151,0.1961459050223361,7
0.2452856159653185,1.8368891947712713,7
0.23544390915180802,0.6952856159663008,7
0.10385409420465062,1.1935650531090694,9
0.1484514796953208,2.254817618722628,9
0.1328286304179297,1.1978664831387658,9
